model,RMSE,MAE,R2,PoissonDev,capture@1%,capture@5%,capture@10%
LGBM-Tw-tuned [base(22)] it=153,1.4555,0.2728,0.1868,0.9157,0.2867,0.5633,0.6877
LGBM-Tw-tuned [enriched(+6)] it=187,1.4499,0.2694,0.1931,0.9443,0.2917,0.5675,0.6904
