model,MAE,RMSE,R2,PoissonDev,capture@1%,oracle@1%,capture@5%,oracle@5%,capture@10%,oracle@10%,capture@20%,oracle@20%
Baseline(hist-mean),0.2876,1.4735,0.1665,1.0028,0.2686,0.6318,0.5372,1.0,0.6682,1.0,0.7996,1.0
Poisson-GLM,0.2986,1.589,0.0308,0.8876,0.2705,0.6318,0.5319,1.0,0.661,1.0,0.7881,1.0
RandomForest,0.2789,1.446,0.1974,0.9575,0.2869,0.6318,0.5668,1.0,0.6969,1.0,0.8129,1.0
HistGB-Poisson,0.2714,1.4923,0.1451,0.8917,0.2801,0.6318,0.5659,1.0,0.6991,1.0,0.8196,1.0
XGBoost-Poisson,0.2644,1.4624,0.179,0.8792,0.2906,0.6318,0.5685,1.0,0.6993,1.0,0.8198,1.0
LightGBM-Poisson,0.261,1.4663,0.1747,0.8883,0.2842,0.6318,0.5705,1.0,0.6965,1.0,0.8204,1.0
LightGBM-Tweedie,0.2531,1.4499,0.193,0.9376,0.2918,0.6318,0.5713,1.0,0.7015,1.0,0.8184,1.0
