cell,cell_lat,cell_lon,total_events,dom_vehicle,dom_junction,cell_junction_share,cell_sev_mean,cell_veh_mean,cell_impact_sum,train_events,dom_police_station,pred_daily_viol,actual_daily_viol,pred_total,peak_block,peak_block_label,mean_impact_per_viol,epi_raw,EPI,zone_id
141_253,12.912692650724637,77.68049148985507,69,CAR,No Junction,0.0,0.6420289855072463,0.9434782608695651,55.26,54,Bellandur,0.5610942000250018,0.38461538461538464,21.88267380097507,2,Morning Peak (08-12),0.801,0.4494364542200264,10.7,14
141_254,12.912177770129869,77.68153213116884,77,CAR,No Junction,0.0,0.6090909090909091,0.8,39.588,62,Bellandur,0.6338300006971281,0.38461538461538464,24.719370027187995,2,Morning Peak (08-12),0.514,0.32578862035832384,8.1,14
142_120,12.914141557478892,77.48131796024461,29,CAR,No Junction,0.0,0.6689655172413793,0.9310344827586207,17.7,16,Kengeri,0.1815995678366645,0.3333333333333333,7.082383145629915,1,Early Morning (04-08),0.61,0.11077573638036535,3.0,179
142_190,12.913868147169811,77.58580793018868,53,CAR,"BTP177 - Aurobindo Circle, ORR",1.0,0.6981132075471698,0.8528301886792453,48.461400000000005,24,J.P. Nagar,0.22838901989712704,0.7435897435897436,8.907171775987955,2,Morning Peak (08-12),0.914,0.20874756418597412,5.5,11
142_202,12.91350312295082,77.60412694590164,61,CAR,No Junction,0.0,0.6032786885245901,0.8327868852459016,30.426000000000002,59,Mico Layout,0.3899967487243578,0.05128205128205128,15.209873200249953,1,Early Morning (04-08),0.499,0.19460837761345454,5.1,15
142_203,12.913601780487806,77.60530884390244,123,SCOOTER,No Junction,0.0,0.6040650406504064,0.7024390243902439,60.03,117,Mico Layout,0.49426709545973724,0.15384615384615385,19.276416722929753,1,Early Morning (04-08),0.488,0.24120234258435178,6.2,15
142_204,12.913697818644069,77.60668329830509,177,SCOOTER,"BTP163 - 16th Main Road, BTM Layout",0.5141242937853108,0.6005649717514124,0.7152542372881355,96.92280000000001,165,Mico Layout,0.9724816919452497,0.3076923076923077,37.92678598586474,1,Early Morning (04-08),0.548,0.5329199671859969,12.3,15
142_205,12.913814963366338,77.60821858712872,101,SCOOTER,"BTP163 - 16th Main Road, BTM Layout",1.0,0.6,0.7861386138613862,69.7632,88,Mico Layout,0.5118583913304317,0.3333333333333333,19.962477261886836,3,Afternoon (12-16),0.691,0.3536941484093282,8.7,15
142_206,12.913895894594594,77.6094435108108,37,SCOOTER,"BTP163 - 16th Main Road, BTM Layout",1.0,0.6027027027027028,0.7243243243243244,23.621000000000002,23,Mico Layout,0.22358113114158146,0.358974358974359,8.719664114521677,2,Morning Peak (08-12),0.638,0.14264476166832898,3.8,15
142_216,12.913225053846153,77.62537913846154,26,SCOOTER,No Junction,0.0,0.7,0.7384615384615384,15.176,21,HSR Layout,0.17952789669110084,0.1282051282051282,7.001587970952933,2,Morning Peak (08-12),0.584,0.10484429166760288,2.9,12
142_217,12.91309801111111,77.62558174814815,27,CAR,No Junction,0.0,0.6925925925925925,0.9259259259259259,17.442,15,HSR Layout,0.13222771665816827,0.3076923076923077,5.156880949668563,3,Afternoon (12-16),0.646,0.0854191049611767,2.4,12
142_225,12.913838936363637,77.63817815454544,33,CAR,No Junction,0.0,0.6,0.8484848484848485,20.232,22,HSR Layout,0.200263412517455,0.28205128205128205,7.810273088180744,2,Morning Peak (08-12),0.613,0.12276147187319991,3.3,13
142_244,12.913777141666666,77.66655255416667,24,MOTOR CYCLE,No Junction,0.0,0.6166666666666666,0.7333333333333333,9.36,18,Bellandur,0.21826852566862803,0.15384615384615385,8.512472501076493,1,Early Morning (04-08),0.39,0.08512472501076493,2.4,180
142_251,12.913951188831362,77.67752640918874,70,SCOOTER,No Junction,0.0,0.6842857142857143,0.7714285714285715,47.37,65,Bellandur,0.5518393209008273,0.1282051282051282,21.521733515132265,2,Morning Peak (08-12),0.677,0.37359522024986014,9.2,14
142_252,12.913554555510329,77.67862820314576,73,SCOOTER,No Junction,0.0,0.6726027397260274,0.7863013698630137,48.624,65,Bellandur,0.6176768435035473,0.20512820512820512,24.08939689663834,2,Morning Peak (08-12),0.666,0.41137277777336256,9.9,14
143_182,12.915419441509433,77.57352832264151,53,SCOOTER,"BTP117 - 9th Cross, Kanakapura Road",1.0,0.620754716981132,0.6830188679245284,25.7322,32,K.S. Layout,0.37076681753641605,0.5384615384615384,14.459905883920225,1,Early Morning (04-08),0.486,0.1801926733226982,4.8,16
143_190,12.915212117948718,77.58582111794871,39,CAR,"BTP177 - Aurobindo Circle, ORR",1.0,0.7051282051282052,0.8512820512820514,40.4014,26,J.P. Nagar,0.2587258786621577,0.3333333333333333,10.090309267824148,2,Morning Peak (08-12),1.036,0.2680400102939954,6.8,11
143_210,12.915108531034484,77.6158164551724,29,SCOOTER,"BTP164 - 29th Main Road, BTM Layout",1.0,0.6827586206896551,0.6620689655172414,16.6556,0,UNKNOWN,0.0,0.7435897435897436,0.0,0,Late Night (00-04),0.574,0.0,0.0,181
143_221,12.915212614833466,77.63232801055278,22,CAR,No Junction,0.0,0.6,0.9090909090909091,16.56,20,HSR Layout,0.20421280329445,0.05128205128205128,7.964299328483549,2,Morning Peak (08-12),0.753,0.15377224088072083,4.1,182
144_133,12.917065086046511,77.50018434883721,43,SCOOTER,No Junction,0.0,0.6116279069767441,0.6,23.67,43,Kengeri,0.3267474837669532,0.0,12.743151866911173,2,Morning Peak (08-12),0.55,0.17971111607182427,4.8,183
144_182,12.917120296675535,77.57348635672413,306,SCOOTER,"BTP115 - Sahasra Hospital, Jayanagar",0.9771241830065359,0.6209150326797386,0.7852941176470588,205.1388,241,Banashankari,2.1878752694992536,1.6666666666666667,85.3271355104709,2,Morning Peak (08-12),0.67,1.4658764305645,26.0,16
144_185,12.917201898684212,77.57814733421053,76,CAR,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",1.0,0.6789473684210526,0.881578947368421,65.7878,62,Jayanagara,0.5434294793356027,0.358974358974359,21.193749694088506,1,Early Morning (04-08),0.866,0.47060992910463195,11.1,17
144_186,12.917023272413793,77.57947402068964,29,SCOOTER,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",1.0,0.6551724137931034,0.7034482758620689,17.854200000000002,18,Jayanagara,0.22205671816796083,0.28205128205128205,8.66021200855047,1,Early Morning (04-08),0.616,0.13678693839146386,3.7,17
144_190,12.916738623529412,77.58585219999999,34,CAR,"BTP177 - Aurobindo Circle, ORR",1.0,0.7,0.9411764705882353,31.4184,12,Jayanagara,0.07501231132163887,0.5641025641025641,2.925480141543916,2,Morning Peak (08-12),0.924,0.06931137566119432,1.9,11
144_196,12.916934304761904,77.59507144523809,42,SCOOTER,"BTP179 - 9th Block, 28th Main, Jayanagar",1.0,0.8345238095238094,0.7619047619047619,28.568800000000003,35,Jayanagara,0.2320230915080342,0.1794871794871795,9.048900568813334,3,Afternoon (12-16),0.68,0.15777570222546328,4.2,18
144_197,12.916911817204301,77.5964613655914,93,SCOOTER,"BTP202 - East End Main Road, Jayanagar",1.0,0.7655913978494624,0.7817204301075269,69.7736,72,Jayanagara,0.5178288151218358,0.5384615384615384,20.195323789751594,2,Morning Peak (08-12),0.75,0.3883716113413768,9.5,18
144_225,12.916497252459017,77.63823500163934,61,CAR,No Junction,0.0,0.6081967213114754,0.8754098360655738,29.573999999999998,54,HSR Layout,0.528515903416173,0.1794871794871795,20.612120233230744,1,Early Morning (04-08),0.485,0.2563302131568439,6.6,184
144_234,12.916521263888889,77.65173718333332,72,SCOOTER,No Junction,0.0,0.6430555555555555,0.6722222222222222,37.11,65,HSR Layout,0.5760339985746917,0.1794871794871795,22.465325944412978,2,Morning Peak (08-12),0.515,0.29665750926596623,7.5,185
144_248,12.916759059765655,77.67313923017856,112,MOTOR CYCLE,No Junction,0.0,0.6892857142857143,0.81875,70.591,62,Bellandur,0.6199306509735474,1.2820512820512822,24.17729538796835,2,Morning Peak (08-12),0.63,0.39055631011333486,9.5,19
145_182,12.917686206779662,77.57375971694914,59,SCOOTER,"BTP115 - Sahasra Hospital, Jayanagar",1.0,0.635593220338983,0.8559322033898306,41.0592,37,Jayanagara,0.3659597347908182,0.5641025641025641,14.272429656841911,0,Late Night (00-04),0.696,0.2547079754144095,6.5,16
145_185,12.917683910416665,77.57778961666666,48,CAR,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",1.0,0.6583333333333333,1.01875,40.924,35,Jayanagara,0.2850376321593138,0.3333333333333333,11.11646765421324,1,Early Morning (04-08),0.853,0.2431371002318947,6.3,17
145_197,12.917927479310345,77.59689013793104,29,CAR,"BTP202 - East End Main Road, Jayanagar",1.0,0.8103448275862069,0.9862068965517242,23.1504,20,Jayanagara,0.24756423734701732,0.23076923076923078,9.655005256533675,0,Late Night (00-04),0.798,0.19755626140291985,5.2,18
