rank,zone_id,n_cells,lat,lon,total_events,pred_daily_viol,mean_impact_per_viol,dom_police_station,epi_raw,zone_EPI
295,149,1,12.895232773076923,77.59921765769231,78,0.15,0.364,J.P. Nagar,0.054599999999999996,1.0
296,212,1,12.93950147142857,77.49302706190477,21,0.1,0.543,Jnanabharathi,0.05430000000000001,1.0
297,174,1,12.910984016296313,77.57832454,25,0.08,0.678,J.P. Nagar,0.054240000000000003,1.0
298,308,1,13.000540026086956,77.61563758695652,23,0.09,0.6,Pulikeshinagar(F.Town),0.054,0.9
299,193,1,12.921294205263159,77.66681738421052,38,0.1,0.537,Bellandur,0.053700000000000005,0.9
300,324,1,13.010955005405407,77.5836821054054,37,0.05,1.074,Sadashivanagar,0.053700000000000005,0.9
301,378,1,13.06854769130435,77.53013169782608,46,0.11,0.486,Jalahalli,0.05346,0.9
302,182,1,12.915212614833466,77.63232801055278,22,0.07,0.753,HSR Layout,0.05271000000000001,0.9
303,287,1,12.987244645454545,77.56788844545454,22,0.07,0.746,Sheshadripuram,0.05222,0.9
304,332,1,13.019002603571428,77.5532614142857,28,0.09,0.571,Yeshwanthpura,0.05138999999999999,0.9
305,241,1,12.956338876923077,77.73225118461538,26,0.06,0.854,Whitefield,0.051239999999999994,0.9
306,255,1,12.971431926470588,77.65816511764706,34,0.11,0.465,Jeevanbheemanagar,0.05115,0.9
307,329,1,13.0159543,77.54392417142857,21,0.1,0.509,Rajajinagar,0.0509,0.9
308,375,1,13.060770322857143,77.46126350571429,35,0.09,0.549,No Police Station,0.04941,0.9
309,299,1,12.992840945454544,77.61222918636363,22,0.07,0.701,Pulikeshinagar(F.Town),0.04907,0.9
310,199,1,12.927020315625,77.597124703125,32,0.05,0.98,Jayanagara,0.049,0.9
311,201,1,12.931528373333332,77.59256666333334,30,0.11,0.442,Jayanagara,0.048620000000000003,0.9
312,327,1,13.01410846923077,77.4915265923077,26,0.08,0.604,Kamakshipalya,0.04832,0.8
313,379,1,13.06879189512195,77.6259800804878,41,0.11,0.439,Hennuru,0.04829,0.8
314,352,1,13.046111700551208,77.52249587372562,25,0.11,0.437,Jalahalli,0.04807,0.8
315,302,1,12.999521234374999,77.48873265,32,0.07,0.676,Kamakshipalya,0.04732000000000001,0.8
316,227,1,12.949867493333333,77.52259779666666,30,0.04,1.181,Byatarayanapura,0.047240000000000004,0.8
317,279,1,12.98550992917839,77.47951004217391,23,0.06,0.787,Kamakshipalya,0.04722,0.8
318,238,1,12.95616315,77.711511165,20,0.07,0.669,HAL Old Airport,0.04683000000000001,0.8
319,394,1,13.120626927272728,77.63190475454546,33,0.08,0.58,Yelahanka,0.0464,0.8
320,290,1,12.989090998266484,77.71183503500085,25,0.05,0.925,Mahadevapura,0.046250000000000006,0.8
321,313,1,13.003539082,77.662758484,50,0.11,0.415,Banaswadi,0.045649999999999996,0.8
322,310,1,13.00018658,77.68495349,20,0.08,0.565,Mahadevapura,0.0452,0.8
323,190,1,12.921005941176471,77.60059375588236,34,0.07,0.635,Mico Layout,0.04445,0.8
324,296,1,12.991734269090909,77.65300899818182,55,0.05,0.884,Banaswadi,0.0442,0.8
325,362,1,13.050168264705881,77.5077196882353,34,0.08,0.552,Chikkabanavara,0.044160000000000005,0.8
326,276,1,12.984123579999999,77.61410773333334,30,0.07,0.615,Pulikeshinagar(F.Town),0.043050000000000005,0.8
327,349,1,13.042365169565217,77.51464338695652,23,0.05,0.819,Chikkabanavara,0.04095,0.7
328,172,1,12.911391121286934,77.55205316638208,24,0.04,1.02,K.S. Layout,0.0408,0.7
329,142,1,12.883412286363637,77.5488104,22,0.06,0.677,Thalagattapura,0.04062,0.7
330,356,1,13.04711527142857,77.5008683936508,63,0.1,0.406,Peenya,0.040600000000000004,0.7
331,328,1,13.014151157142857,77.49256017857144,28,0.06,0.676,Kamakshipalya,0.04056,0.7
332,373,1,13.057334833333332,77.47313015238095,21,0.05,0.781,No Police Station,0.03905,0.7
333,128,1,12.854323651724139,77.6621129448276,29,0.07,0.552,Electronic City,0.03864000000000001,0.7
334,234,1,12.954608356521737,77.57379180434783,23,0.07,0.551,V.V.Puram (C.Pet),0.03857000000000001,0.7
335,392,1,13.119698125,77.60998470833333,24,0.08,0.471,Yelahanka,0.03768,0.7
336,393,1,13.121373861904761,77.61862194761905,21,0.06,0.627,Yelahanka,0.03762,0.7
337,135,1,12.87297133398011,77.59429457121547,35,0.09,0.412,Hulimavu,0.037079999999999995,0.7
338,357,1,13.047064039215686,77.5011584764706,51,0.09,0.391,Peenya,0.03519,0.6
339,237,1,12.956345794999999,77.70872528,20,0.06,0.584,HAL Old Airport,0.035039999999999995,0.6
340,208,1,12.937948171126848,77.5573720172229,25,0.04,0.87,Basavanagudi,0.0348,0.6
341,320,1,13.008850699999998,77.75873020416667,24,0.08,0.435,Mahadevapura,0.0348,0.6
342,377,1,13.060479233898306,77.65207519152541,59,0.06,0.579,Hennuru,0.03473999999999999,0.6
343,132,1,12.857967199949274,77.58904821590635,26,0.06,0.575,Hulimavu,0.034499999999999996,0.6
344,245,1,12.958819599016776,77.65974614982754,29,0.06,0.566,Jeevanbheemanagar,0.03396,0.6
345,219,1,12.943643344,77.58569130400001,25,0.04,0.83,Wilson Garden,0.0332,0.6
346,207,1,12.938139685365854,77.53323880731708,41,0.05,0.658,Banashankari,0.032900000000000006,0.6
347,343,1,13.03567271923077,77.51379165128205,26,0.06,0.547,Peenya,0.03282,0.6
348,338,1,13.028328303276368,77.56187998598634,20,0.04,0.809,Yeshwanthpura,0.03236,0.6
349,265,1,12.979776977777776,77.56436397777777,27,0.04,0.805,Magadi Road,0.0322,0.6
350,370,1,13.05451060714286,77.7628191404762,42,0.05,0.634,K.R. Pura,0.0317,0.6
351,170,1,12.909533636,77.64452790600001,50,0.05,0.631,HSR Layout,0.03155,0.6
352,180,1,12.913777141666666,77.66655255416667,24,0.08,0.39,Bellandur,0.031200000000000002,0.6
353,273,1,12.983078591666667,77.75209816666667,36,0.04,0.762,Whitefield,0.03048,0.5
354,220,1,12.945369557575757,77.57998246060606,33,0.03,0.964,Basavanagudi,0.028919999999999998,0.5
355,371,1,13.055170111538462,77.76449870769231,26,0.04,0.72,K.R. Pura,0.0288,0.5
356,143,1,12.884067227272727,77.59627571363636,22,0.04,0.703,J.P. Nagar,0.02812,0.5
357,206,1,12.937673833333333,77.4926896857143,21,0.04,0.697,Kengeri,0.02788,0.5
358,284,1,12.985567868421052,77.74524711052631,38,0.03,0.893,Whitefield,0.026789999999999998,0.5
359,198,1,12.924396223809524,77.64995559047618,21,0.07,0.37,HSR Layout,0.025900000000000003,0.5
360,213,1,12.940213095833334,77.6092963375,24,0.05,0.492,Adugodi,0.0246,0.4
361,354,1,13.045565969230768,77.62732425384615,26,0.06,0.41,Hennuru,0.024599999999999997,0.4
362,267,1,12.979640725,77.645821555,20,0.05,0.482,Jeevanbheemanagar,0.0241,0.4
363,242,1,12.95671986764706,77.70867776764706,34,0.05,0.477,HAL Old Airport,0.02385,0.4
364,261,1,12.975702195238094,77.59956136190476,21,0.04,0.55,Cubbon Park,0.022000000000000002,0.4
365,365,1,13.0501532375,77.63027920208333,48,0.05,0.432,Hennuru,0.0216,0.4
366,301,1,12.998126645454546,77.68913783636364,22,0.04,0.529,Mahadevapura,0.02116,0.4
367,339,1,13.029311768181817,77.58092817727272,22,0.02,1.04,Kodigehalli,0.020800000000000003,0.4
368,396,1,13.121723285714287,77.61279385238096,21,0.04,0.505,Yelahanka,0.0202,0.4
369,127,1,12.8509053,77.65745645744681,47,0.04,0.501,Electronic City,0.02004,0.4
370,323,1,13.01138071304348,77.56900903043478,23,0.03,0.587,Malleshwaram,0.017609999999999997,0.3
371,388,1,13.098641786956522,77.57732423913043,23,0.04,0.398,Yelahanka,0.01592,0.3
372,160,1,12.904553049999999,77.67597527727273,22,0.03,0.494,Bellandur,0.01482,0.3
373,197,1,12.92465761817564,77.57525355326405,33,0.02,0.685,Banashankari,0.013700000000000002,0.2
374,322,1,13.010648495000002,77.5359441,20,0.01,1.366,Rajajinagar,0.013660000000000002,0.2
375,372,1,13.055722338095238,77.59428697619049,21,0.04,0.334,Hebbala,0.01336,0.2
376,150,1,12.895220490909091,77.67585026909092,55,0.03,0.435,Electronic City,0.013049999999999999,0.2
377,233,1,12.954009992307693,77.57222016923077,26,0.03,0.418,V.V.Puram (C.Pet),0.012539999999999999,0.2
378,225,1,12.948408341894176,77.57227377473531,36,0.03,0.415,V.V.Puram (C.Pet),0.01245,0.2
379,144,1,12.884195429944171,77.59794341239204,39,0.02,0.591,Hulimavu,0.011819999999999999,0.2
380,341,1,13.031702426086957,77.62316460869565,23,0.02,0.533,K.G. Halli,0.010660000000000001,0.2
381,264,1,12.977895546341465,77.71315105121951,41,0.02,0.52,Mahadevapura,0.010400000000000001,0.2
382,194,1,12.922462093436245,77.62239369150619,26,0.03,0.343,Madiwala,0.01029,0.2
383,195,1,12.922621311764706,77.62277640980392,51,0.03,0.336,Madiwala,0.01008,0.2
384,340,1,13.032341392592594,77.5638845962963,27,0.02,0.504,Yeshwanthpura,0.01008,0.2
385,359,1,13.048648155185186,77.4985022562963,27,0.02,0.488,Chikkabanavara,0.00976,0.2
386,381,1,13.06957309,77.529886845,20,0.01,0.764,Jalahalli,0.00764,0.1
387,272,1,12.981318095454547,77.64598840909092,22,0.01,0.733,Jeevanbheemanagar,0.00733,0.1
388,306,1,12.999373463636363,77.69239176363637,22,0.01,0.477,Mahadevapura,0.00477,0.1
389,214,1,12.940505835294118,77.62020658235294,34,0.01,0.454,Adugodi,0.004540000000000001,0.1
390,342,1,13.032876786956521,77.62732889565218,23,0.01,0.453,K.G. Halli,0.00453,0.1
391,345,1,13.034728214285714,77.73416345714286,21,0.01,0.266,K.R. Pura,0.00266,0.0
392,181,1,12.915108531034484,77.6158164551724,29,0.0,0.574,UNKNOWN,0.0,0.0
393,215,1,12.941726090286972,77.56344906892619,20,0.0,0.55,Basavanagudi,0.0,0.0
394,248,1,12.961585365,77.53370056,20,0.0,1.037,Vijayanagara,0.0,0.0
395,250,1,12.966874166129033,77.65813075806452,62,0.0,0.863,Jeevanbheemanagar,0.0,0.0
396,251,1,12.966652278260868,77.65879696086957,23,0.0,0.872,Jeevanbheemanagar,0.0,0.0
397,277,1,12.984024545417743,77.64071238052811,32,0.0,0.436,Jeevanbheemanagar,0.0,0.0
398,303,1,12.999138623809523,77.61923753809523,21,0.0,0.956,Pulikeshinagar(F.Town),0.0,0.0
399,309,1,13.00059401,77.621780065,20,0.0,0.54,UNKNOWN,0.0,0.0
400,318,1,13.007137525714285,77.62158840714285,70,0.0,0.623,Pulikeshinagar(F.Town),0.0,0.0
401,325,1,13.013066130434783,77.53484495217391,23,0.0,1.197,UNKNOWN,0.0,0.0
402,389,1,13.098212824242426,77.5844740060606,33,0.0,0.605,Yelahanka,0.0,0.0
