rank,zone_id,n_cells,lat,lon,total_events,pred_daily_viol,mean_impact_per_viol,dom_police_station,epi_raw,zone_EPI
76,9,4,12.908060162242991,77.60079293271028,535,1.29,0.666,Mico Layout,0.8591400000000001,11.2
77,116,4,13.058402465048408,77.59229770097025,248,1.12,0.752,Kodigehalli,0.8422400000000001,11.0
78,45,3,12.951410907624902,77.71750294786062,354,0.93,0.899,Whitefield,0.8360700000000001,10.9
79,112,4,13.039885432765958,77.51855916425532,235,1.09,0.744,Peenya,0.81096,10.7
80,41,4,12.941757429506929,77.56712685287125,397,1.46,0.549,Basavanagudi,0.80154,10.6
81,114,3,13.050032075921376,77.59312586142507,407,1.54,0.517,Kodigehalli,0.79618,10.5
82,57,4,12.961067246479098,77.636896192339,237,0.94,0.773,Halasur,0.7266199999999999,9.8
83,79,4,12.98747427609842,77.73451948594024,569,1.45,0.496,Mahadevapura,0.7192,9.7
84,1,4,12.87625085689655,77.59601657995688,464,1.44,0.486,Hulimavu,0.6998399999999999,9.5
85,101,3,13.018876798367875,77.55774213111629,320,1.19,0.577,Yeshwanthpura,0.68663,9.4
86,355,1,13.045868462857142,77.75038690214286,140,0.86,0.772,K.R. Pura,0.66392,9.2
87,31,3,12.93089479827586,77.60659667499999,348,1.68,0.395,Mico Layout,0.6636,9.2
88,35,4,12.93605090862069,77.60709897528734,174,0.74,0.882,Mico Layout,0.65268,9.0
89,102,7,13.021919002941177,77.59265284839573,374,1.16,0.556,R.T. Nagar,0.64496,9.0
90,105,3,13.02746935177515,77.5428350204142,338,1.25,0.506,Yeshwanthpura,0.6325000000000001,8.8
91,5,3,12.888612368499416,77.56269467599371,287,1.14,0.552,Thalagattapura,0.62928,8.8
92,2,4,12.875938515073528,77.64794085661765,272,0.99,0.627,Hulimavu,0.62073,8.7
93,37,5,12.938413845644218,77.57794031403502,269,0.78,0.791,Basavanagudi,0.6169800000000001,8.6
94,119,3,13.093735515579711,77.5942489536232,276,1.07,0.549,Yelahanka,0.5874300000000001,8.3
95,17,3,12.917319260784314,77.578286572549,153,0.72,0.814,Jayanagara,0.5860799999999999,8.3
